TxnRef,PostingDate,Counterparty Name,LEI Code,CCY,Amount,Account Ref,Memo
TX-100001,2026-03-31,Deutsche Bank AG,7LTWFZYICNSX8D621K86,USD,1250000.00,NOSTRO-USD-001,Nostro transfer
TX-100002,2026-03-31,HSBC Bank USA,MP6I5ZYZBEU3UXPYFY54,USD,875500.00,NOSTRO-USD-001,Wire settlement
TX-100003,2026-04-01,Barclays Bank PLC,G5GSEF7VJP5I7OUK5573,EUR,2100000.00,NOSTRO-EUR-002,FX funding
TX-100004,2026-03-31,BNP Paribas,R0MUWSFPU8MPRO8K5P83,EUR,549500.00,NOSTRO-EUR-002,Intraday sweep
TX-100005,2026-03-31,Citibank NA,E57ODZWZ7FF32TWEFA76,USD,3200000.00,VOSTRO-USD-004,Client payment
TX-100006,2026-03-31,UBS AG,BFM8T61CT2L1QCEMIK50,CHF,1800000.00,NOSTRO-CHF-003,Branch funding
TX-100008,2026-03-31,Standard Chartered Bank,U4LOSYZ7YG4W3S5F2G91,GBP,975000.00,NOSTRO-GBP-005,Trade finance
TX-100009,2026-03-31,Societe Generale SA,O2RNE8IBXP4R0TD8PU41,EUR,1125000.00,NOSTRO-EUR-002,Bond coupon
TX-100010,2026-03-31,Wells Fargo,PBLD0EJDB5FWOLXP3B76,USD,685000.00,NOSTRO-USD-001,ACH reversal
TX-100011,2026-03-31,JPMorgan Chase Bank,7H6GLXDRUGQFU57RNE97,USD,225000.00,NOSTRO-USD-001,Late settlement
